duid,station_name,region,dispatch_type,fuel_source,technology,fueltech,reg_cap_mw
LK_ECHO,Lake Echo Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,32.4
LNGS1,Laverton North Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,156
LNGS2,Laverton North Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,156
LONSDALE,Lonsdale Power Station,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,20
LOYYB1,Loy Yang B Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,500
LOYYB2,Loy Yang B Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,500
LRSF1,Longreach Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,17
LUCAS2S2,Lucas Heights 2 Power Station,NSW1,Generating Unit,Landfill Methane / Landfill Gas,Compression Reciprocating Engine,bioenergy,4.6
LUCASHGT,Lucas Heights 2 Power Station,NSW1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,12.65
LVES1,Latrobe Valley BESS,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,140
LYA1,Loy Yang A Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,560
LYA2,Loy Yang A Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,530
LYA3,Loy Yang A Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,560
LYA4,Loy Yang A Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,560
MACARTH1,Macarthur Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,420
MACKNTSH,Mackintosh Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,79.9
MANNSF2,Mannum 2 Solar Farm,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,37
MANNUMB1,Mannum Battery Energy Storage System,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,131.7
MANSLR1,Manildra solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,50
MAPS2PV1,"Mannum - Adelaide Pipeline Pumping Station No 2, PV Units 1-6",SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,16.5
MAPS3PV1,"Mannum - Adelaide Pipeline Pumping Station No 3, PV Units 1-6",SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,16.5
MAROOWF1,Maroona Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,6.8
MARYRSF1,Maryrorough Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,33
MBAHNTH,Moranbah North Waste Coal Mine Gas Power Station,QLD1,Generating Unit,Waste Coal Mine Gas,Spark Ignition Reciprocating Engine,coal_black,63.42
MBPS2PV1,Murray Bridge-Onkaparinga Pipeline Pumping Station No 2,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,13.75
MCINTYR1,MacIntyre Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,923
MCKAY1,Bogong / Mackay Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,300
MEADOWBK,Meadowbank Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,40
MERCER01,Mt Mercer Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,131.2
METZSF1,Metz Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,135
MEWF1,Mount Emerald Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,180
MIDDLSF1,Middlemount Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,30
MINTARO,Mintaro Gas Turbine Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,90
MLB01,Mortlake Battery Energy Storage System,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,440
MLSP1,Mugga Lane Solar Park,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,12
MLWF1,Mortons Lane Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,20
MOKOSF1,Mokoan Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,58
MOLNGSF1,Molong Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,36
MOORABS1,Moorabool Wind Farm,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,2
MOORAWF1,Moorabool Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,312
MORANBAH,Moranbah Generation Project,QLD1,Generating Unit,Coal Seam Methane,Compression Reciprocating Engine,coal_black,12.56
MOREESF1,Moree Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,57.064
MORTLK11,Mortlake Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,283
MORTLK12,Mortlake Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,283
MOUSF1,Moura Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,99
MP1,Mt Piper Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,700
MP2,Mt Piper Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,700
MPP_1,Millmerran Power Plant,QLD1,Generating Unit,Black Coal,Steam Super Critical,coal_black,426
MPP_2,Millmerran Power Plant,QLD1,Generating Unit,Black Coal,Steam Super Critical,coal_black,426
MREHA1,Melbourne Renewable Energy Hub Connection A1,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,215.8
MREHA2,Melbourne Renewable Energy Hub Connection A2,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,215.8
MREHA3,Melbourne Renewable Energy Hub Connection A3,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,215.4
MRNBESS1,Mornington BESS,VIC1,Bidirectional Unit,Grid,Battery,battery,336
MRTLSWF1,Mortlake South Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,157.5
MSTUART1,Mt Stuart Power Station,QLD1,Generating Unit,Kerosene,Open Cycle Gas turbines (OCGT),gas_ocgt,144
MSTUART2,Mt Stuart Power Station,QLD1,Generating Unit,Kerosene,Open Cycle Gas turbines (OCGT),gas_ocgt,144
MSTUART3,Mt Stuart Power Station,QLD1,Generating Unit,Kerosene,Open Cycle Gas turbines (OCGT),gas_ocgt,131
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,138
MTMILLAR,Mt Millar Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,70
MUCRKSF1,Munna Creek Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,154
MULWASF1,Mulwala Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,31
MURRAY,Murray Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,1500
MUSSELR1,Musselroe Wind Farm,TAS1,Generating Unit,Wind,Wind - Onshore,wind,168
MUWAWF1,Murra Warra Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,231.8
MUWAWF2,Murra Warra Wind Farm Stage 2,VIC1,Generating Unit,Wind,Wind - Onshore,wind,209
MWPS1PV1,Morgan-Whyalla Pipeline Pumping Station No 1,SA1,Generating Unit,solar,Photovoltaic Tracking Flat panel,solar,5.5
MWPS2PV1,Morgan-Whyalla Pipeline Pumping Station No 2,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,5.5
MWPS3PV1,Morgan-Whyalla Pipeline Pumping Station No 3,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,7.5
MWPS4PV1,Morgan-Whyalla Pipeline Pumping Station No 4,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,5.5
NASF1,Narromine Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,10
NBHWF1,North Brown Hill Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,132.3
NESBESS1,New England BESS,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,126
NESBESS2,New England BESS,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,126
NEVERSF1,Nevertire Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,132
NEWENSF1,New England Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,235
NEWENSF2,New England Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,235
NPS,Newport Power Station,VIC1,Generating Unit,Natural Gas,Steam Sub-Critical,gas_steam,500
NUMURSF1,Numurkah Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,112
NYNGAN1,Nyngan Solar Plant,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,102.141
OAKEY1,Oakey Power Station,QLD1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,141
OAKEY1SF,Oakey 1 Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,30
OAKEY2,Oakey Power Station,QLD1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,141
OAKEY2SF,Oakey 2 Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,65
OAKLAND1,Oaklands Hill Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,67
OAKY2,Oaky Creek 2,QLD1,Generating Unit,Waste Coal Mine Gas,Spark Ignition Reciprocating Engine,coal_black,15
OAKYCREK,Oaky Creek Power Station,QLD1,Generating Unit,Coal Seam Methane,Compression Reciprocating Engine,coal_black,20
ORABESS1,Orana BESS,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,439
OSB-AG,Osborne Power Station,SA1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,180
PALOONA,Paloona Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,28
PAREPS1,Port Augusta Renewable Energy Park,SA1,Generating Unit,Solar,Photovoltaic Flat panel,solar,99
PAREPW1,Port Augusta Renewable Energy Park,SA1,Generating Unit,Wind,Wind - Onshore,wind,210
PARSF1,Parkes Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,55
PIBESS1,Phillip Island BESS,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,7
PINDARI,Pindari Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,6.7
POAT110,Poatina Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,100
POAT220,Poatina Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,200
POR01,Port Lincoln Gas Turbine,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,50
POR03,Port Lincoln Gas Turbine,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,23.5
PPCCGT,Pelican Point Power Station,SA1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,478
PTSTAN1,Pt Stanvac Power Station,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,57.6
PUMP1,Wivenhoe Power Station,QLD1,Load,-,-,other,240
PUMP2,Wivenhoe Power Station,QLD1,Load,-,-,other,240
QBYNB1,Queanbeyan BESS,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,10
QPS1,Quarantine Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,29
QPS2,Quarantine Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,24
QPS3,Quarantine Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,24
QPS4,Quarantine Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,24
QPS5,Quarantine Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,128
QPSFB1,Quorn Park Solar Hybrid,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,96
QPSFB2,Quorn Park Solar Hybrid,NSW1,Bidirectional Unit,Solar,Battery and Inverter,battery,27
RACOMIL1,Racecourse Mill Power Station,QLD1,Generating Unit,Bagasse,Steam Sub-Critical,bioenergy,48
RANGEB1,Rangebank BESS,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,260
REECE1,Reece Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,115.6
REECE2,Reece Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,115.6
REPULSE,Repulse Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,28
RESS1,Riverina Energy Storage System 1,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,80
RIVNB2,Riverena Energy Storage System 2,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,65
ROMA_7,Roma Gas Turbine Station,QLD1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,40
ROMA_8,Roma Gas Turbine Station,QLD1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,40
