duid,station_name,region,dispatch_type,fuel_source,technology,fueltech,reg_cap_mw
-,Victoria Mill,QLD1,Generating Unit,Bagasse,Steam Super Critical,bioenergy,-
ADPBA1,Adelaide Desalination Plant,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,7.76
ADPMH1,Adelaide Desalination Plant,SA1,Generating Unit,Water,Run of River,hydro,1.44
ADPPV1,Adelaide Desalination Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,24.75
ADPPV2,Adelaide Desalination Plant,SA1,Generating Unit,Solar,Photovoltaic Flat panel,solar,0.2
ADPPV3,Adelaide Desalination Plant,SA1,Generating Unit,Solar,Photovoltaic Flat panel,solar,0.02
AGLHAL,Hallett Power Station,SA1,Generating Unit,Natural Gas / Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,217
AGLSOM,Somerton Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,170
ALDGASF1,Aldoga Solar Farm,QLD1,Generating Unit,Solar,Photovoltalic Tracking Flat Panel,solar,535.213
ANGAST1,Angaston Power Station,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,50
APPIN,Appin Power Plant,NSW1,Generating Unit,Waste Coal Mine Gas,Spark Ignition Reciprocating Engine,coal_black,55.6
ARWF1,Ararat Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,241.59
AVLSF1,Avonlie Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,254.1
BAKING1,Baking Board Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,17.5
BALB1,Ballarat Battery Energy Storage System,VIC1,Bidirectional Unit,Grid,Battery,battery,30
BALDHWF1,Bald Hills Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,106.6
BANGOWF1,Bango 973 Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,159
BANGOWF2,Bango 999 Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,84.8
BANN1,Bannerton Solar Park,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,100
BAPS,Banimboola Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,12.85
BARCALDN,Barcaldine Power Station,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,37
BARCSF1,Barcaldine Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,20
BARKIPS1,Barker Inlet Power Station,SA1,Generating Unit,Natural Gas,Compression Reciprocating Engine,gas_recip,211
BARRON-1,Barron Gorge Power Station,QLD1,Generating Unit,Water,Run of River,hydro,30
BARRON-2,Barron Gorge Power Station,QLD1,Generating Unit,Water,Run of River,hydro,30
BASTYAN,Bastyan Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,79.9
BBATTERY1,Bouldercombe Battery Project,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,67
BBTHREE1,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,35
BBTHREE2,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,35
BBTHREE3,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,35
BDL01,Bairnsdale Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,46
BDL02,Bairnsdale Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,46
BDONGHYD,Burrendong Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,19
BERYLSF1,Beryl Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,98
BHB1,Broken Hill Battery Energy Storage System,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,66
BLNKTAS,Basslink HVDC Link,TAS1,Generating Unit,,,other,478
BLNKVIC,Basslink HVDC Link,VIC1,Generating Unit,,,other,594
BLOWERNG,Blowering Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,80
BLUEGSF1,Blue Grass Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,183
BLUFF1,The Bluff Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,52.5
BLYTHB1,Blyth Battery Energy Storage System,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,281
BNGSF1,Bungala One Solar Farm,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,135
BNGSF2,Bungala Two Solar Farm,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,135
BOCORWF1,Boco Rock Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,113.18
BODWF1,Bodangora Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,113.19
BOLIVAR1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Sewerage / Waste Water,Pump Storage,hydro,9.9
BOLIVPS1,Bolivar Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,128
BOMENSF1,Bomen Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,121
BOWWBA1,Bolivar Waste Water Treatment Plant,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,3
BOWWDG1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,0.66
BOWWPV1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,8.25
BPLANDF1,Browns Plains Landfill Gas PS,QLD1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,2
BRAEMAR1,Braemar Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,168
BRAEMAR2,Braemar Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,168
BRAEMAR3,Braemar Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,168
BRAEMAR5,Braemar 2 Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,173
BRAEMAR6,Braemar 2 Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,173
BRAEMAR7,Braemar 2 Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,173
BRDDBES1,Broadsound Energy Park,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,240
BRDDSF01,Broadsound Energy Park,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,368
BRNDBES1,Brendale BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,215
BROKENH1,Broken Hill Solar Plant,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,53.76
BROOKLYN,Brooklyn LFG U1-3,VIC1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,2.83
BROWNMT,Brown Mountain Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,5
BRYB1WF1,Berrybank Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,180.6
BRYB2WF2,Berrybank 2 Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,109
BULBES1,Bulgana Green Power Hub,VIC1,Bidirectional Unit,Grid,Battery,battery,24
BULGANA1,Bulgana Green Power Hub,VIC1,Generating Unit,Wind,Wind - Onshore,wind,204
BUNGAMB1,Bungama Battery Energy Storage System,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,217
BURRIN,Burrinjuck Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,34
BUSF1,Bundaberg Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,101
BUTLERSG,Butlers Gorge Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,14.4
BW01,Bayswater Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,660
BW02,Bayswater Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,660
BW03,Bayswater Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,660
BW04,Bayswater Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,660
BWTR1,Broadwater Power Station,NSW1,Generating Unit,Bagasse,Steam Sub-Critical,bioenergy,38
CALL_B_1,Callide Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,350
CALL_B_2,Callide Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,350
CAPBES1,Capital Battery,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,125
CAPTL_WF,Capital Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,140
CATHROCK,Cathedral Rocks,SA1,Generating Unit,Wind,Wind - Onshore,wind,66
CBWF1,Coonooer Bridge Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,19.8
CBWWBA1,Christies Beach Wastewater Treatment Plant,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,2.16
CBWWBG1,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Biogas - sludge,Compression Reciprocating Engine,bioenergy,0.664
CBWWDG1,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,2
CBWWDG2,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,0.72
CBWWPV1,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,2.75
CBWWPV2,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,1.08
CESF1,Capital East Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,0.205
CETHANA,Cethana Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,85
CG1,Colongra Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,181
CG2,Colongra Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,181
CG3,Colongra Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,181
CG4,Colongra Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,181
CGBESS01,Clements Gap BESS,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,90.5
CHALLHWF,Challicum Hills Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,52.5
CHBESS1,"Chinchilla BESS, Units 1-80",QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,134
CHILDSF1,Childers Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,64.38
CHPSTWF1,Chepstowe Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,6.15
CHYTWF1,Cherry Tree Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,57.6
CLARESF1,Clare Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,110.262
CLAYTON,Clayton Landfill Gas Power Station,VIC1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,11
CLEMGPWF,Clements Gap Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,57
CLERMSF1,Clermont Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,92.5
CLOVER,Clover Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,37.5
CLRKCWF1,Clarke Creek Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,345.5
CLRKCWF2,Clarke Creek Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,103.5
CLUNY,Cluny Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,19
CNUNDAWF,Canunda Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,46
CODRNGTON,Codrington Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,18.2
COHUNSF1,Cohuna Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,31
COLEASF1,Coleambally Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,180
COLUMSF1,Columboola Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,217
COLWF01,Collector Wind Farm 1,NSW1,Generating Unit,Wind,Wind - Onshore,wind,226
CONDONG1,Condong Power Station,NSW1,Generating Unit,Bagasse,Steam Sub-Critical,bioenergy,30
COOPGWF1,Coopers Gap Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,452
COPTNHYD,Copeton Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,22.5
CPP_3,Callide C Nett Off,QLD1,Generating Unit,Black Coal,Steam Super Critical,coal_black,466
CPP_4,Callide C Nett Off,QLD1,Generating Unit,Black Coal,Steam Super Critical,coal_black,420
CPSA,Condamine Power Station A,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,143
CROOKWF2,Crookwell 2 Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,96.04
CROOKWF3,Crookwell 3 Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,57
CROWLWF1,Crowlands Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,79.95
CRURWF1,Crudine Ridge Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,141
CRWARP1,Carwarp Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,186
CRWASF1,Corowa Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,36
CSPVPS1,Collinsville Solar PV Power Station,QLD1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,42
CTHLWF1,Cattle Hill Wind Farm,TAS1,Generating Unit,Wind,Wind - Onshore,wind,148
CULLRGWF,Cullerin Range Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,30
CUSF1,Culcairn Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,466
DALNTH1,Dalrymple North BESS,SA1,Bidirectional Unit,Grid,Battery,battery,30
DARLSF1,Darlington Point Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,324
DARTM1,Dartmouth Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,185
DAYDSF1,Daydream Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,167
DDPS1,Darling Downs Power Station,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,644
DDSF1,Darling Downs Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,121
DEVILS_G,Devils Gate Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,60
DIAPURWF1,Diapur Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,8
DPNTB1,Darlington Point Energy Storage System,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,25
DRYCGT1,Dry Creek Gas Turbine Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,52
DRYCGT2,Dry Creek Gas Turbine Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,52
DRYCGT3,Dry Creek Gas Turbine Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,52
DULAWF1,Dulacca Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,180
DUNDWF1,Dundonnell Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,168
DUNDWF2,Dundonnell Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,46
DUNDWF3,Dundonnell Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,121
EASTCRK,Eastern Creek LFG PS Units 1-4,NSW1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,5.056
EASTCRK2,Eastern Creek 2 Gas Utilisation Facility,NSW1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,6.738
EDENVSF1,Edenvale Solar Park,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,180
EILDON1,Eildon Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,60
EILDON2,Eildon Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,60
EILDON3,Eildon Power Station,VIC1,Generating Unit,Water,Run of River,hydro,4.5
ELAINWF1,Elaine Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,83.6
EMERASF1,Emerald Solar Park,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,88
ER01,Eraring Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,720
ER02,Eraring Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,720
ER03,Eraring Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,720
ER04,Eraring Power Station,NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,720
ERB01,Eraring Battery Energy Storage System,NSW1,Bidirectional Unit,Grid,Battery,battery,614.6
ERGT01,Eraring Power Station,NSW1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,41.5
FINLYSF1,Finley Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,162.36
FISHER,Fisher Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,43.2
FLYCRKWF,Flyers Creek Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,145
FNWF1,Ferguson North Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,4
FSWF1,Ferguson South Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,8
GANGARR1,Gangarri Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,162
GANNB1,Gannawarra Energy Storage System,VIC1,Bidirectional Unit,Grid,Battery,battery,30
GANNSF1,Gannawarra Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,55
GB01,Broken Hill Gas Turbines,NSW1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,50
